"Disclaimer - The Data provided in the adjusted 52 week high and adjusted 52 week low columns  are adjusted for corporate actions (bonus, splits & rights).For actual (unadjusted) 52 week high & low prices, kindly refer bhavcopy."
"Effective for 19-Jan-2026"
"SYMBOL","SERIES","Adjusted_52_Week_High","52_Week_High_Date","Adjusted_52_Week_Low","52_Week_Low_DT"
"20MICRONS","EQ","    283.93","23-JUL-2025","    158.20","12-FEB-2025"
"21STCENMGM","EQ","     88.45","22-JAN-2025","     36.03","27-NOV-2025"
"360ONE","EQ","   1273.80","07-JUL-2025","    790.50","07-APR-2025"
"3IINFOLTD","EQ","     29.91","06-FEB-2025","     14.60","12-JAN-2026"
"3MINDIA","EQ","  37305.00","02-JAN-2026","  25718.15","03-MAR-2025"
"3PLAND","EQ","     59.05","20-JAN-2025","     34.05","26-NOV-2025"
"5PAISA","EQ","    433.70","10-JUN-2025","    287.65","14-NOV-2025"
"63MOONS","EQ","   1130.00","17-JUL-2025","    591.25","18-FEB-2025"
"A2ZINFRA","EQ","     23.90","16-JAN-2025","     12.35","11-APR-2025"
"AAATECH","EQ","    136.00","07-OCT-2025","     66.00","18-MAR-2025"
"AADHARHFC","EQ","    547.80","24-SEP-2025","    346.05","28-JAN-2025"
"AAKAAR","SM","    105.00","21-JUL-2025","     58.05","16-JAN-2026"
"AAKASH","EQ","     13.79","24-JUN-2025","      7.06","03-JUN-2025"
"AARADHYA","SM","    182.00","13-OCT-2025","     97.50","08-SEP-2025"
"AAREYDRUGS","EQ","    100.00","06-NOV-2025","     31.35","18-MAR-2025"
"AARON","EQ","    258.00","25-AUG-2025","    152.48","18-FEB-2025"
"AARTECH","EQ","     78.30","16-JAN-2025","     47.00","30-DEC-2025"
"AARTIDRUGS","EQ","    564.05","21-JUL-2025","    312.00","07-APR-2025"
"AARTIIND","EQ","    495.00","28-MAY-2025","    344.20","07-APR-2025"
"AARTIPHARM","EQ","    971.00","16-JUL-2025","    568.10","01-FEB-2025"
"AARTISURF","EQ","    653.10","19-MAY-2025","    358.30","12-JAN-2026"
"AARVI","EQ","    152.00","17-NOV-2025","     88.00","07-APR-2025"
"AATMAJ","SM","     25.50","22-DEC-2025","     14.50","28-MAR-2025"
"AAVAS","EQ","   2234.00","22-APR-2025","   1415.00","12-JAN-2026"
"ABAN","BE","     61.80","21-JAN-2025","     18.06","12-JAN-2026"
"ABB","EQ","   6579.65","20-JAN-2025","   4684.45","07-APR-2025"
"ABBOTINDIA","EQ","  37000.00","27-JUN-2025","  25325.00","29-JAN-2025"
"ABCAPITAL","EQ","    369.30","06-JAN-2026","    149.01","17-FEB-2025"
"ABCOTS","EQ","    505.50","01-FEB-2025","    370.10","01-SEP-2025"
"ABDL","EQ","    696.80","04-NOV-2025","    279.00","07-APR-2025"
"ABFRL","EQ","    295.70","19-MAY-2025","     70.55","13-JUN-2025"
"ABGSEC","EQ","    113.03","21-JUL-2025","    104.03","16-JAN-2025"
"ABGSECINAV","EQ","-","-","-","-"
"ABHAPOWER","SM","     55.25","21-AUG-2025","     26.45","27-MAR-2025"
"ABINFRA","EQ","     22.50","08-SEP-2025","      6.16","18-FEB-2025"
"ABLBL","EQ","    175.00","23-JUN-2025","    114.25","14-JAN-2026"
"ABMINTLLTD","EQ","     78.21","02-JUL-2025","     36.02","16-JAN-2026"
"ABREL","EQ","   2537.90","17-JUN-2025","   1522.00","16-JAN-2026"
"ABSLAMC","EQ","    908.00","20-AUG-2025","    556.45","07-APR-2025"
"ABSLBAINAV","EQ","-","-","-","-"
"ABSLBANETF","EQ","     63.26","07-JAN-2026","     47.55","18-MAR-2025"
"ABSLLIQUID","EQ","   1030.00","17-JAN-2025","    999.99","16-JAN-2026"
"ABSLLQINAV","EQ","-","-","-","-"
"ABSLNN50ET","EQ","     75.45","04-NOV-2025","     58.37","03-MAR-2025"
"ABSLNNINAV","EQ","-","-","-","-"
"ABSLPSE","EQ","     10.90","07-JUL-2025","      8.00","07-APR-2025"
"ABSMARINE","SM","    259.00","13-NOV-2025","     92.10","27-MAR-2025"
"ABSPSEINAV","EQ","-","-","-","-"
"ACC","EQ","   2119.90","24-APR-2025","   1687.00","12-JAN-2026"
"ACCELYA","EQ","   1574.85","23-JAN-2025","   1218.50","07-APR-2025"
"ACCENTMIC","SM","    378.00","07-JAN-2026","    169.81","03-APR-2025"
"ACCORD","SM","     31.65","14-JAN-2026","     17.50","27-MAR-2025"
"ACCPL","ST","    102.50","01-DEC-2025","     53.80","14-OCT-2025"
"ACCURACY","EQ","     10.24","16-JAN-2025","      5.10","18-NOV-2025"
"ACE","EQ","   1389.00","26-MAY-2025","    845.00","16-JAN-2026"
"ACEINTEG","EQ","     31.24","17-JAN-2025","     19.40","09-JAN-2026"
"ACI","EQ","    727.60","13-AUG-2025","    408.35","17-FEB-2025"
"ACL","EQ","    109.99","08-SEP-2025","     48.15","28-MAR-2025"
"ACMESOLAR","EQ","    324.30","15-SEP-2025","    167.75","28-JAN-2025"
"ACTIVEINFR","SM","    190.00","09-OCT-2025","    147.05","28-APR-2025"
"ACUTAAS","EQ","   2644.00","05-FEB-2025","   1040.50","28-APR-2025"
"ADANIENSOL","EQ","   1067.70","02-JAN-2026","    639.45","03-MAR-2025"
"ADANIENT","EQ","   2616.50","23-SEP-2025","   1967.52","03-MAR-2025"
"ADANIGREEN","EQ","   1177.55","22-SEP-2025","    758.00","03-MAR-2025"
"ADANIPORTS","EQ","   1549.00","01-DEC-2025","   1010.75","30-JAN-2025"
"ADANIPOWER","EQ","    182.70","23-SEP-2025","     92.40","07-APR-2025"
"ADDICTIVE","SM","    339.60","21-JAN-2025","    104.20","25-NOV-2025"
"ADFFOODS","EQ","    300.85","11-JUN-2025","    192.01","12-JAN-2026"
"ADL","EQ","    121.77","17-APR-2025","     62.00","10-MAR-2025"
"ADOR","EQ","   1260.00","16-OCT-2025","    788.00","07-APR-2025"
"ADROITINFO","EQ","     20.30","21-JAN-2025","      9.11","22-DEC-2025"
"ADSL","EQ","    286.74","06-FEB-2025","    127.52","12-JAN-2026"
"ADVANCE","EQ","    154.00","27-OCT-2025","    102.00","10-OCT-2025"
"ADVANIHOTR","EQ","     68.39","21-AUG-2025","     52.29","04-MAR-2025"
"ADVENTHTL","EQ","    345.05","14-NOV-2025","    190.17","09-DEC-2025"
"ADVENZYMES","EQ","    366.25","01-AUG-2025","    257.90","03-MAR-2025"
"AEGISLOG","EQ","    946.50","20-MAY-2025","    609.85","28-JAN-2025"
"AEGISVOPAK","EQ","    302.00","18-JUL-2025","    213.62","16-JAN-2026"
"AEQUS","EQ","    165.40","18-DEC-2025","    134.01","29-DEC-2025"
"AEROENTER","EQ","    124.40","17-JAN-2025","     72.14","07-APR-2025"
"AEROFLEX","EQ","    272.00","06-FEB-2025","    148.01","07-APR-2025"
"AERON","SM","    170.95","24-JAN-2025","     89.05","08-DEC-2025"
"AERONEU","EQ","    125.37","10-SEP-2025","     67.00","18-FEB-2025"
"AESTHETIK","SM","    155.60","25-SEP-2025","     60.00","07-FEB-2025"
"AETHER","EQ","   1021.75","06-JAN-2026","    725.00","21-MAY-2025"
"AFCONS","EQ","    537.85","21-JAN-2025","    353.50","16-JAN-2026"
"AFFLE","EQ","   2185.90","22-SEP-2025","   1246.00","07-APR-2025"
"AFFORDABLE","EQ","    629.90","16-JAN-2025","    182.35","14-JAN-2026"
"AFIL","EQ","     10.16","17-APR-2025","      5.47","12-JAN-2026"
"AFSL","EQ","    269.50","11-JUN-2025","    165.49","03-FEB-2025"
"AGARIND","EQ","   1202.65","21-JAN-2025","    667.85","09-DEC-2025"
"AGARWALEYE","EQ","    568.00","16-OCT-2025","    327.00","30-MAY-2025"
"AGARWALFT","SM","     71.25","05-SEP-2025","     37.00","14-JAN-2026"
"AGARWALTUF","SM","    174.05","24-SEP-2025","     81.00","04-MAR-2025"
"AGI","EQ","   1089.40","21-JAN-2025","    599.10","03-MAR-2025"
"AGIIL","EQ","    308.80","08-JAN-2026","    137.00","07-APR-2025"
"AGNI","SM","     43.35","04-SEP-2025","     17.90","28-MAR-2025"
"AGRITECH","BE","    217.85","01-FEB-2025","    103.25","25-NOV-2025"
"AGROPHOS","EQ","     47.60","31-JUL-2025","     27.20","03-MAR-2025"
"AGSTRA","BZ","     67.00","20-JAN-2025","      3.78","12-MAY-2025"
"AGUL","SM","     70.50","11-SEP-2025","     37.30","08-MAY-2025"
"AHCL","EQ","    172.75","28-NOV-2025","     90.78","03-SEP-2025"
"AHIMSA","ST","     62.50","16-JAN-2025","     22.10","13-MAR-2025"
"AHLADA","EQ","     99.99","22-JAN-2025","     45.85","08-DEC-2025"
"AHLEAST","EQ","    168.00","02-SEP-2025","    122.78","07-APR-2025"
"AHLUCONT","EQ","   1125.00","15-JUL-2025","    620.00","18-FEB-2025"
"AIAENG","EQ","   4168.70","08-JAN-2026","   3001.10","28-AUG-2025"
"AIIL","EQ","    683.00","13-JAN-2026","    265.10","28-FEB-2025"
"AILIMITED","SM","     90.90","02-MAY-2025","     29.30","14-JAN-2026"
"AIMTRON","ST","   1040.00","21-NOV-2025","    358.00","07-APR-2025"
"AIRAN","EQ","     35.90","21-JAN-2025","     15.99","14-JAN-2026"
"AIROLAM","EQ","    137.04","10-JUN-2025","     83.50","07-MAY-2025"
"AISL","SM","    164.85","01-FEB-2025","     77.00","01-SEP-2025"
"AJANTPHARM","EQ","   3079.90","03-FEB-2025","   2327.30","07-APR-2025"
"AJAXENGG","EQ","    756.20","14-MAY-2025","    549.10","07-APR-2025"
"AJMERA","EQ","    221.40","03-NOV-2025","    136.31","03-MAR-2025"
"AJOONI","EQ","      8.17","21-JAN-2025","      3.90","16-JAN-2026"
"AKANKSHA","SM","    150.00","17-JAN-2025","     63.00","16-JAN-2026"
"AKASH","EQ","     36.45","22-JAN-2025","     23.00","07-APR-2025"
"AKG","EQ","     18.75","22-JAN-2025","     11.24","07-APR-2025"
"AKI","EQ","     16.05","11-JUL-2025","      5.77","13-JAN-2026"
"AKIKO","ST","    299.30","17-NOV-2025","     62.00","22-JUL-2025"
"AKSHAR","EQ","       .76","13-OCT-2025","       .47","01-JAN-2026"
"AKSHARCHEM","EQ","    330.80","28-AUG-2025","    195.00","27-MAR-2025"
"AKSHOPTFBR","EQ","     12.95","21-APR-2025","      5.55","09-DEC-2025"
"AKUMS","EQ","    636.00","17-JAN-2025","    405.00","07-APR-2025"
"AKZOINDIA","EQ","   3957.90","17-JAN-2025","   3022.00","03-MAR-2025"
"ALANKIT","EQ","     20.97","20-JAN-2025","      9.99","14-JAN-2026"
"ALBERTDAVD","EQ","   1260.55","16-JAN-2025","    703.80","16-JAN-2026"
"ALCODIS","SM","    208.50","05-MAY-2025","     81.50","16-JAN-2026"
"ALEMBICLTD","EQ","    128.49","21-JAN-2025","     85.46","03-MAR-2025"
"ALGOQUANT","EQ","     71.01","06-JAN-2026","     61.00","09-JAN-2026"
"ALICON","EQ","   1050.00","10-FEB-2025","    597.15","07-APR-2025"
"ALIVUS","EQ","   1251.00","06-FEB-2025","    847.20","08-DEC-2025"
"ALKALI","EQ","    117.79","21-MAY-2025","     74.00","07-APR-2025"
"ALKEM","EQ","   5933.50","13-JAN-2026","   4491.65","28-FEB-2025"
"ALKYLAMINE","EQ","   2438.80","07-JUL-2025","   1506.70","12-JAN-2026"
"ALLCARGO","EQ","     45.67","20-JAN-2025","     10.01","16-JAN-2026"
"ALLDIGI","EQ","   1114.40","21-JAN-2025","    800.00","09-DEC-2025"
"ALLETEC","SM","    527.95","21-JAN-2025","    200.00","18-DEC-2025"
"ALLTIME","EQ","    334.90","25-AUG-2025","    234.30","14-JAN-2026"
"ALMONDZ","EQ","     34.25","24-JAN-2025","     14.41","18-DEC-2025"
"ALOKINDS","EQ","     23.50","08-JUL-2025","     14.01","07-APR-2025"
"ALPA","EQ","    132.79","20-JAN-2025","     70.13","14-JAN-2026"
"ALPEXSOLAR","SM","   1449.70","12-AUG-2025","    495.00","18-MAR-2025"
"ALPHA","EQ","     52.94","02-JUL-2025","     39.00","07-APR-2025"
"ALPHAETF","EQ","     26.53","28-NOV-2025","     19.61","04-MAR-2025"
"ALPHAGEO","EQ","    438.25","21-JAN-2025","    211.00","18-DEC-2025"
"ALPL30IETF","EQ","     28.72","30-OCT-2025","     24.00","07-APR-2025"
"ALPSINDUS","BE","      4.01","23-DEC-2025","      1.60","07-OCT-2025"
"ALUWIND","SM","     95.80","22-SEP-2025","     48.00","07-APR-2025"
"AMANTA","EQ","    154.40","23-SEP-2025","     97.75","09-DEC-2025"
"AMBANIORGO","SM","    143.65","10-SEP-2025","     96.15","15-MAY-2025"
"AMBER","EQ","   8626.00","29-OCT-2025","   5235.00","18-FEB-2025"
"AMBEY","SM","     61.00","17-JAN-2025","     31.05","13-NOV-2025"
"AMBICAAGAR","EQ","     36.95","06-FEB-2025","     23.99","17-MAR-2025"
"AMBIKCO","EQ","   1700.00","05-JUN-2025","   1174.80","12-JAN-2026"
"AMBUJACEM","EQ","    624.95","22-JUL-2025","    455.00","03-MAR-2025"
"AMCL","ST","    385.00","26-DEC-2025","    161.70","25-AUG-2025"
"AMDIND","EQ","     68.07","22-SEP-2025","     39.85","18-MAR-2025"
"AMEYA","SM","    127.25","11-JUN-2025","     89.30","16-JAN-2026"
"AMIABLE","ST","    110.00","10-FEB-2025","     54.00","17-NOV-2025"
"AMJLAND","EQ","     68.90","16-JUN-2025","     41.87","07-APR-2025"
"AMJUMBO","SM","     12.60","27-JAN-2025","      5.75","08-JUL-2025"
"AMNPLST","EQ","    318.00","21-JAN-2025","    170.00","15-DEC-2025"
"AMRUTANJAN","EQ","    790.95","08-SEP-2025","    544.10","30-APR-2025"
"ANANDRATHI","EQ","   3321.40","14-OCT-2025","   1594.00","13-MAR-2025"
"ANANTAM","IV","    113.00","16-OCT-2025","    100.20","17-NOV-2025"
"ANANTRAJ","EQ","    928.00","21-JAN-2025","    376.15","07-APR-2025"
"ANDHRAPAP","EQ","     91.80","16-JAN-2025","     62.04","12-JAN-2026"
"ANDHRSUGAR","EQ","     94.75","20-JAN-2025","     65.10","07-APR-2025"
"ANGELONE","EQ","   3285.00","05-JUN-2025","   1941.00","13-MAR-2025"
"ANIKINDS","EQ","    133.00","04-APR-2025","     42.00","13-JAN-2026"
"ANKITMETAL","BZ","      3.95","20-JAN-2025","      1.55","07-NOV-2025"
"ANLON","SM","    497.00","11-SEP-2025","    239.00","13-MAR-2025"
"ANMOL","EQ","     24.67","21-JAN-2025","     12.90","07-NOV-2025"
"ANNAPURNA","SM","    412.75","16-JAN-2025","    180.00","07-JAN-2026"
"ANONDITA","ST","   1037.45","01-JAN-2026","    261.75","01-SEP-2025"
"ANSALAPI","BZ","      9.40","20-JAN-2025","      3.15","08-JAN-2026"
"ANTELOPUS","EQ","    829.75","17-JAN-2025","    357.00","13-JAN-2026"
"ANTGRAPHIC","EQ","      1.62","12-JUN-2025","       .77","12-DEC-2025"
"ANTHEM","EQ","    873.50","18-SEP-2025","    604.00","12-JAN-2026"
"ANUHPHR","EQ","    114.90","11-JUN-2025","     73.10","16-JAN-2026"
"ANUP","EQ","   3633.05","28-MAR-2025","   1965.00","16-JAN-2026"
"ANURAS","EQ","   1374.80","06-JAN-2026","    601.00","28-FEB-2025"
"ANYA","SM","     29.05","22-MAY-2025","     19.45","13-JAN-2026"
"ANZEN","IV","    121.00","18-NOV-2025","    105.06","06-MAR-2025"
"AOGOLDINAV","EQ","-","-","-","-"
"AONE50INAV","EQ","-","-","-","-"
"AONEGOLD","EQ","     13.62","16-JAN-2026","     10.00","10-SEP-2025"
"AONELIINAV","EQ","-","-","-","-"
"AONELIQUID","EQ","   1060.00","10-JUN-2025","    908.58","26-MAY-2025"
"AONENFINAV","EQ","-","-","-","-"
"AONENIFTY","EQ","     12.00","28-MAY-2025","      9.47","17-JUL-2025"
"AONETMMQ50","EQ","     10.50","05-DEC-2025","      9.41","12-JAN-2026"
"AONETOINAV","EQ","-","-","-","-"
"AONETOTAL","EQ","     12.51","06-JAN-2026","      9.63","07-APR-2025"
"APARINDS","EQ","  10436.80","16-JAN-2025","   4308.05","07-APR-2025"
"APCL","EQ","    170.00","06-FEB-2025","     96.20","17-MAR-2025"
"APCOTEXIND","EQ","    444.00","30-JUL-2025","    286.95","17-MAR-2025"
"APEX","EQ","    350.53","24-NOV-2025","    186.55","07-APR-2025"
"APEXECO","SM","    166.95","16-JAN-2025","     73.00","17-MAR-2025"
"APLAPOLLO","EQ","   1993.70","02-JAN-2026","   1272.70","17-FEB-2025"
"APLLTD","EQ","   1107.90","30-JUN-2025","    725.20","03-MAR-2025"
"APOLLO","EQ","    354.70","17-SEP-2025","    103.77","18-FEB-2025"
"APOLLOHOSP","EQ","   8099.50","23-OCT-2025","   6001.00","03-MAR-2025"
"APOLLOPIPE","EQ","    494.95","27-MAY-2025","    277.15","09-DEC-2025"
"APOLLOTYRE","EQ","    540.50","14-NOV-2025","    370.90","03-MAR-2025"
"APOLSINHOT","EQ","   1787.60","20-JAN-2025","   1150.00","02-JAN-2026"
"APRAMEYA","SM","    360.00","21-NOV-2025","     86.50","04-MAR-2025"
"APS","SM","    654.00","06-JUN-2025","    310.00","12-JAN-2026"
"APTECHT","EQ","    188.28","21-JAN-2025","     86.00","12-JAN-2026"
"APTUS","EQ","    364.00","18-AUG-2025","    267.95","28-JAN-2025"
"ARABIAN","SM","     92.95","27-JUN-2025","     63.00","28-MAR-2025"
"ARCHIDPLY","EQ","    120.40","28-JUL-2025","     79.50","28-FEB-2025"
"ARCHIES","EQ","     25.40","16-JUN-2025","     14.72","18-MAR-2025"
"ARCIIL","SM","    145.00","29-AUG-2025","     62.00","14-JAN-2026"
"ARE&M","EQ","   1118.95","21-JAN-2025","    832.30","07-APR-2025"
"ARENTERP","EQ","     62.99","04-JUL-2025","     37.17","04-MAR-2025"
"ARFIN","EQ","     84.01","13-JAN-2026","     31.43","29-JUL-2025"
"ARHAM","ST","    161.00","07-JAN-2026","     70.80","06-AUG-2025"
"ARIES","EQ","    459.90","25-AUG-2025","    220.11","04-MAR-2025"
"ARIHANTACA","SM","    540.00","14-NOV-2025","    200.00","07-MAR-2025"
"ARIHANTCAP","EQ","    120.00","24-OCT-2025","     58.15","03-MAR-2025"
"ARIHANTSUP","EQ","    530.90","20-JAN-2025","    303.00","18-DEC-2025"
"ARISINFRA","EQ","    208.50","25-JUN-2025","    111.11","12-JAN-2026"
"ARISTO","SM","    148.00","04-APR-2025","     84.55","05-MAR-2025"
"ARKADE","EQ","    213.69","18-JUL-2025","    124.52","16-JAN-2026"
"ARMANFIN","EQ","   1834.60","07-JUL-2025","   1109.95","18-MAR-2025"
"AROGRANITE","EQ","     49.50","20-JAN-2025","     27.61","08-DEC-2025"
"ARROWGREEN","EQ","    827.30","16-JAN-2025","    463.05","12-JAN-2026"
"ARSHIYA","BZ","      3.94","04-FEB-2025","      1.16","29-DEC-2025"
"ARSSBL","EQ","    794.85","18-NOV-2025","    431.00","30-SEP-2025"
"ARTEMISMED","EQ","    335.00","05-FEB-2025","    207.71","03-MAR-2025"
"ARTNIRMAN","EQ","     72.50","16-JUN-2025","     39.68","07-MAY-2025"
"ARUNAYA","SM","     46.50","19-MAY-2025","     17.50","18-DEC-2025"
"ARVEE","BE","    290.78","19-DEC-2025","    126.54","18-FEB-2025"
"ARVIND","EQ","    408.95","20-JAN-2025","    274.80","28-AUG-2025"
"ARVINDFASN","EQ","    579.00","17-SEP-2025","    320.20","07-APR-2025"
"ARVINDPORT","SM","     87.40","10-JUN-2025","     35.20","13-JAN-2026"
"ARVSMART","EQ","    821.10","05-FEB-2025","    551.25","14-JAN-2026"
"ASAHIINDIA","EQ","   1074.00","01-DEC-2025","    576.80","17-MAR-2025"
"ASAHISONG","EQ","    491.95","12-MAY-2025","    235.00","14-JAN-2026"
"ASAL","EQ","    663.00","17-JAN-2025","    395.50","07-APR-2025"
"ASALCBR","EQ","   1496.00","03-FEB-2025","    833.65","16-JAN-2026"
"ASCOM","ST","    148.00","16-JAN-2026","     76.55","17-JUN-2025"
"ASHALOG","SM","     95.50","21-JAN-2025","     60.00","07-APR-2025"
"ASHAPURMIN","EQ","    924.90","07-JAN-2026","    301.60","11-MAR-2025"
"ASHIANA","EQ","    376.15","16-JUN-2025","    247.80","09-MAY-2025"
"ASHIMASYN","EQ","     35.80","22-MAY-2025","     16.25","08-DEC-2025"
"ASHOKA","EQ","    294.00","17-JAN-2025","    147.00","14-JAN-2026"
"ASHOKAMET","EQ","     23.50","20-JAN-2025","     14.25","16-JAN-2026"
"ASHOKLEY","EQ","    191.80","05-JAN-2026","     95.93","07-APR-2025"
"ASHWINI","SM","    167.80","16-JAN-2026","    127.90","23-DEC-2025"
"ASIANENE","EQ","    391.65","03-SEP-2025","    215.00","17-MAR-2025"
"ASIANHOTNR","EQ","    419.50","24-MAR-2025","    267.90","07-AUG-2025"
"ASIANPAINT","EQ","   2985.70","04-DEC-2025","   2124.75","05-MAR-2025"
"ASIANTILES","EQ","     78.80","24-DEC-2025","     39.15","07-APR-2025"
"ASKAUTOLTD","EQ","    578.50","24-SEP-2025","    333.30","03-MAR-2025"
"ASLIND","ST","    118.60","24-DEC-2025","     29.00","24-MAR-2025"
"ASMS","EQ","     22.30","16-JAN-2025","     10.95","12-JAN-2026"
"ASPINWALL","EQ","    345.90","07-FEB-2025","    209.10","16-JAN-2026"
"ASPIRE","SM","     41.00","20-JAN-2025","     15.30","02-JAN-2026"
"ASTEC","EQ","   1093.27","16-JAN-2025","    607.05","11-NOV-2025"
"ASTERDM","EQ","    732.20","23-OCT-2025","    387.10","04-MAR-2025"
"ASTRAL","EQ","   1593.50","13-NOV-2025","   1232.30","13-MAR-2025"
"ASTRAMICRO","EQ","   1195.90","05-JUN-2025","    584.20","03-MAR-2025"
"ASTRAZEN","EQ","  10691.00","13-JUN-2025","   6619.50","22-JAN-2025"
"ASTRON","EQ","     20.93","29-MAY-2025","      5.24","16-JAN-2026"
"ATALREAL","EQ","     27.75","16-JAN-2026","     11.15","28-FEB-2025"
"ATAM","EQ","    148.00","21-JAN-2025","     76.98","27-MAR-2025"
"ATCENERGY","SM","    115.35","29-APR-2025","     32.05","12-JAN-2026"
"ATGL","EQ","    798.00","23-SEP-2025","    532.60","03-MAR-2025"
"ATHERENERG","EQ","    790.00","21-OCT-2025","    288.15","07-MAY-2025"
"ATL","EQ","     37.86","25-SEP-2025","     19.82","07-APR-2025"
"ATLANTAA","EQ","     73.39","07-OCT-2025","     27.26","01-APR-2025"
"ATLANTAELE","EQ","   1097.85","07-NOV-2025","    782.10","30-SEP-2025"
"ATLASCYCLE","EQ","    176.39","24-JAN-2025","     76.10","19-MAR-2025"
"ATMASTCO","SM","    300.80","21-JAN-2025","    127.00","29-DEC-2025"
"ATUL","EQ","   7788.00","07-JUL-2025","   4752.00","07-APR-2025"
"ATULAUTO","EQ","    583.95","10-FEB-2025","    412.65","17-MAR-2025"
"AUBANK","EQ","   1029.95","16-JAN-2026","    478.35","18-MAR-2025"
"AURIGROW","BE","      1.22","20-JAN-2025","       .45","05-JUN-2025"
"AURIONPRO","EQ","   1684.90","16-JAN-2025","    981.20","16-JAN-2026"
"AUROIMPEX","SM","     73.45","20-JAN-2025","     35.50","12-JAN-2026"
"AUROPHARMA","EQ","   1278.60","24-APR-2025","   1010.00","07-APR-2025"
"AURUM","EQ","    253.70","21-JAN-2025","    144.40","07-APR-2025"
"AUSL","SM","     48.30","18-JUL-2025","     23.65","28-MAR-2025"
"AUSOMENT","EQ","    153.56","16-JAN-2026","     72.80","21-MAR-2025"
"AUTOAXLES","EQ","   2039.70","06-JAN-2026","   1520.00","07-APR-2025"
"AUTOBEES","EQ","    299.92","06-JAN-2026","    197.07","07-APR-2025"
"AUTOBEINAV","EQ","-","-","-","-"
"AUTOIETF","EQ","     30.50","07-JAN-2026","     19.72","07-APR-2025"
"AUTOIND","EQ","    105.49","07-FEB-2025","     62.81","25-NOV-2025"
"AVADHSUGAR","EQ","    584.25","19-MAY-2025","    325.00","16-JAN-2026"
"AVALON","EQ","   1318.00","07-OCT-2025","    598.00","29-JAN-2025"
"AVANTEL","EQ","    215.00","10-OCT-2025","     95.33","18-FEB-2025"
"AVANTIFEED","EQ","    964.20","24-MAR-2025","    601.55","07-APR-2025"
"AVG","EQ","    343.00","21-JAN-2025","    156.81","08-DEC-2025"
"AVIANSH","SM","    123.50","14-JAN-2026","     93.80","07-MAR-2025"
"AVL","EQ","    598.70","04-NOV-2025","    327.60","19-JUN-2025"
"AVONMORE","EQ","     26.91","21-JAN-2025","     15.00","18-DEC-2025"
"AVPINFRA","SM","    238.75","20-JAN-2025","    104.35","12-JAN-2026"
"AVROIND","EQ","    230.52","17-JAN-2025","    101.35","10-NOV-2025"
"AVSL","ST","    158.00","12-FEB-2025","    120.00","03-SEP-2025"
"AVTNPL","EQ","     83.80","13-AUG-2025","     51.41","07-APR-2025"
"AWFIS","EQ","    724.00","16-JAN-2025","    445.70","16-JAN-2026"
"AWHCL","EQ","    693.00","03-JUL-2025","    408.05","09-DEC-2025"
"AWL","EQ","    291.20","21-APR-2025","    211.00","16-JAN-2026"
"AXISBANK","EQ","   1309.00","16-JAN-2026","    933.50","27-JAN-2025"
"AXISBNKETF","EQ","    632.72","07-JAN-2026","    485.00","07-APR-2025"
"AXISBPINAV","EQ","-","-","-","-"
"AXISBPSETF","EQ","     14.50","27-OCT-2025","     12.00","16-JAN-2025"
"AXISCADES","EQ","   1779.20","23-SEP-2025","    630.00","28-JAN-2025"
"AXISCETF","EQ","    131.85","23-OCT-2025","    101.00","28-FEB-2025"
"AXISGOINAV","EQ","-","-","-","-"
"AXISGOLD","EQ","    120.55","14-JAN-2026","     66.62","16-JAN-2025"
"AXISHCETF","EQ","    156.13","17-OCT-2025","    127.43","04-MAR-2025"
"AXISILINAV","EQ","-","-","-","-"
"AXISILVER","EQ","    280.99","16-JAN-2026","     86.48","07-APR-2025"
"AXISNIFTY","EQ","    296.38","07-JAN-2026","    236.80","11-APR-2025"
"AXISTECETF","EQ","    470.87","24-JAN-2025","    341.00","07-APR-2025"
"AXISVALUE","EQ","     33.72","16-JAN-2026","     22.84","21-AUG-2025"
"AXITA","BE","     13.42","31-DEC-2025","      7.99","19-NOV-2025"
"AXSENSEX","EQ","     91.35","02-DEC-2025","     74.00","07-APR-2025"
"AYMSYNTEX","EQ","    279.33","12-JUN-2025","    145.01","09-DEC-2025"
"AZAD","EQ","   1899.00","02-JUN-2025","   1159.45","07-APR-2025"
"BABAFP","SM","     63.50","22-JAN-2025","     29.55","20-NOV-2025"
"BAFNAPH","BE","    202.06","12-NOV-2025","     69.00","19-FEB-2025"
"BAGDIGITAL","SM","    139.00","23-DEC-2025","     95.75","10-OCT-2025"
"BAGFILMS","EQ","      9.24","16-JAN-2025","      5.31","28-MAR-2025"
"BAHETI","SM","    649.90","05-MAY-2025","    328.10","27-JAN-2025"
"BAIDFIN","EQ","     15.25","22-JAN-2025","      9.01","27-MAR-2025"
"BAJAJ-AUTO","EQ","   9888.00","08-JAN-2026","   7089.35","07-APR-2025"
"BAJAJCON","EQ","    310.00","06-NOV-2025","    151.00","07-APR-2025"
"BAJAJELEC","EQ","    753.45","16-JAN-2025","    430.10","16-JAN-2026"
"BAJAJFINSV","EQ","   2195.00","23-OCT-2025","   1617.00","01-FEB-2025"
"BAJAJHCARE","EQ","    745.00","19-MAR-2025","    379.10","13-JAN-2026"
"BAJAJHFL","EQ","    136.96","24-APR-2025","     92.10","09-DEC-2025"
"BAJAJHIND","EQ","     30.86","20-JAN-2025","     16.50","07-APR-2025"
"BAJAJHLDNG","EQ","  14763.00","18-AUG-2025","  10400.00","07-APR-2025"
